game_year,pitch_type,pitches,whiffs,swings,called_strikes,csw,bip,in_zone,sum_dre,n_dre,sum_xwoba,n_xwoba,whiff_pct,csw_pct,zone_pct,rv100,xwobacon,usage_share
2024,CU,43767,5395,18248,8161,13556,6411,19031,125.37299999999999,43767,2829.7977228085847,10007,29.5648838228847,30.97310759247835,43.4825325016565,-0.28645554870107615,0.28278182500335614,6.192686836843989
2024,FC,58206,6101,28659,9451,15552,10696,29933,0.12499999999998629,58205,4834.695508712246,14219,21.28825150912453,26.718894959282547,51.42596983128887,-0.00021475818228672156,0.34001656295887517,8.235691960274664
2024,FF,225910,20926,110904,38657,59583,36775,124843,-20.127000000000088,225909,18914.27643684191,55763,18.86857101637452,26.37466247620734,55.262272586428224,0.008909339601343942,0.3391904387648066,31.96449113056471
2024,FO,150,22,81,18,40,20,54,0.9789999999999999,150,10.763381142857142,38,27.160493827160494,26.666666666666668,36.0,-0.6526666666666666,0.2832468721804511,0.0212238221839879
2024,FS,21898,3735,11448,1651,5386,3788,8118,-36.984,21898,1552.3517967731575,6009,32.625786163522015,24.595853502602978,37.07187871038451,0.16889213626815236,0.25833779277303337,3.098395054566447
2024,KC,12358,1799,5472,2028,3827,1847,5054,-8.581000000000003,12358,799.335628882573,3033,32.876461988304094,30.967794141446834,40.89658520796245,0.06943680207153265,0.2635462014119924,1.7485599636648164
2024,SI,111897,6035,51387,24703,30738,23783,63425,-4.664000000000019,111897,11010.288513826685,31103,11.744215463054859,27.469905359393014,56.68159110610651,0.004168118895055291,0.3539944222045039,15.832546872811294
2024,SL,104360,16511,51131,15133,31644,17268,47069,-217.94500000000002,104360,7524.65922645285,26593,32.291564804130566,30.321962437715598,45.10252970486776,0.20883959371406674,0.2829563880138702,14.766120554139848
2024,ST,51983,7062,23782,8402,15464,8347,22917,-57.29400000000002,51983,3426.2112200583015,13054,29.69472710453284,29.74818690725814,44.08556643518073,0.11021680164669222,0.2624644721968976,7.355186323934953
2024,SV,3695,413,1524,732,1145,586,1584,-0.33800000000000185,3695,247.5340165550957,876,27.099737532808398,30.987821380243574,42.868741542625166,0.009147496617050117,0.28257307825924166,0.5228134864655686
2025,CH,73209,10792,36871,6482,17274,14035,28592,95.799,73209,5584.038609786817,19634,29.269615687125384,23.59545957464246,39.05530740755918,-0.1308568618612466,0.2844065707337688,10.343088360369931
2025,CS,398,42,167,61,103,66,178,4.303,398,22.990377502304145,95,25.149700598802394,25.87939698492462,44.72361809045226,-1.0811557788944723,0.2420039737084647,0.05623009694746866
2025,CU,47415,5762,19630,8622,14384,7052,20735,158.735,47415,3073.6719888767147,11019,29.35303107488538,30.33639143730887,43.730886850152906,-0.3347780238321207,0.27894291577064295,6.698869464231724
2025,FC,53437,5330,26326,8826,14156,9783,28796,10.044000000000016,53437,4521.842944897626,12983,20.246144495935578,26.491008102999793,53.8877556749069,-0.018795965342365807,0.3482895282213376,7.549667564276087
2025,FF,226315,20461,110452,38902,59363,37237,127905,60.57700000000007,226315,19253.0787424027,55991,18.52478904863651,26.23025429158474,56.516359940790494,-0.02676667476747015,0.3438602407958904,31.974156760468265
2025,FO,750,148,380,47,195,109,215,-7.785,750,47.518862990982164,219,38.94736842105263,26.0,28.666666666666668,1.038,0.21698110954786376,0.10596123796633541
2025,FS,23267,3976,12110,1700,5676,4164,8966,-20.993,23266,1647.3255040663805,6492,32.83236994219653,24.39506597326686,38.535264537757335,0.09023037909395684,0.25374699692951025,3.287200165016968
2025,KC,12690,1971,5677,1987,3958,1862,5243,23.48,12690,834.9654549731871,3167,34.719041747401796,31.18991331757289,41.31599684791174,-0.1850275807722616,0.2636455494073846,1.7928641463903952
2025,SI,110179,6053,50067,24589,30642,23254,63824,-232.27999999999994,110179,10510.523764608371,30432,12.089799668444284,27.81110737980922,57.92755425262527,0.21082057379355407,0.3453773581955958,15.566270983857159
2025,SL,102150,15834,50320,14558,30392,17473,47652,-114.67499999999998,102148,7666.632898210681,26231,31.466613672496024,29.752325012236906,46.649045521292216,0.11226357833731447,0.29227375617439977,14.431920611014883
2025,ST,54456,7423,24621,8890,16313,8680,24631,-22.456999999999994,54456,3592.459152432251,13379,30.1490597457455,29.956294990451006,45.23101219333039,0.04123879829587188,0.26851477333375073,7.693633566259681
2025,SV,3540,473,1545,590,1063,530,1521,5.455,3540,232.96710486071916,873,30.614886731391586,30.028248587570623,42.96610169491525,-0.15409604519774012,0.26685808116920867,0.5001370432011031
