game_year,family,pitches,whiffs,swings,called_strikes,csw,bip,in_zone,sum_dre,n_dre,sum_xwoba,n_xwoba,whiff_pct,csw_pct,zone_pct,rv100,xwobacon,usage_share,whiff_pct_rel,league_whiff_pct,csw_pct_rel,league_csw_pct,rv100_rel,league_rv100,xwobacon_rel,league_xwobacon
2025,CU,44254,5633,18638,7825,13458,6585,19118,140.192,44254,2853.8624019071744,10424,30.22319991415388,30.41081032223076,43.20061463370543,-0.3167894427622362,0.2737780508353007,8.400627190135044,7.319039819438327,22.904160094715554,3.182519946865817,27.228290375364942,-0.33058200945377036,0.01379256669153419,-0.042421318392763585,0.3161993692280643
2025,FC,41056,4044,20176,6873,10917,7564,22123,-17.450999999999983,41056,3506.4821237852657,10030,20.043616177636796,26.590510522213563,53.88493764614186,0.04250535853468429,0.3495994141361182,7.793558772499307,-2.8605439170787577,22.904160094715554,-0.637779853151379,27.228290375364942,0.0287127918431501,0.01379256669153419,0.03340004490805393,0.3161993692280643
2025,FF,167263,14989,81697,28751,43740,27787,94692,-22.869999999999948,167263,14199.62755541288,41513,18.347062927647283,26.15043374804948,56.61263997417241,0.013673077727889579,0.34205255113850797,31.75112093152162,-4.557097167068271,22.904160094715554,-1.0778566273154624,27.228290375364942,-0.00011948896364461122,0.01379256669153419,0.025853181910443668,0.3161993692280643
2025,FS,18104,3062,9417,1305,4367,3255,6921,-26.656,18103,1291.6602249828888,5089,32.51566316236593,24.12174105170128,38.229120636323465,0.1472463127658399,0.253814153071898,3.4366374711936736,9.611503067650379,22.904160094715554,-3.1065493236636605,27.228290375364942,0.1334537460743057,0.01379256669153419,-0.06238521615616632,0.3161993692280643
2025,SI,82534,4500,37544,18295,22795,17357,47741,-209.82799999999997,82534,7858.62490052503,22794,11.985936501171958,27.618920687231928,57.844040031986815,0.2542321952165168,0.3447672589508217,15.667224759583442,-10.918223593543596,22.904160094715554,0.3906303118669854,27.228290375364942,0.2404396285249826,0.01379256669153419,0.028567889722757422,0.3161993692280643
2025,SLV,120121,17589,57347,18030,35619,20255,55378,-58.08399999999999,120119,8736.282643394561,30466,30.67117721938375,29.65260029470284,46.1018473039685,0.048355380913927014,0.28675515799233775,22.802271855791826,7.767017124668197,22.904160094715554,2.4243099193378974,27.228290375364942,0.034562814222392824,0.01379256669153419,-0.029444211235726547,0.3161993692280643
2026,CH,59907,8941,30034,5322,14263,11303,22009,-14.709999999999999,59907,4409.96625,15906,29.76959445961244,23.808569950089304,36.73861151451416,0.024554726492730397,0.27725174462466995,11.209911472630615,6.822130100800255,22.947464358812184,-3.3154974811574327,27.124067431246736,0.010912961757128239,0.013641764735602158,-0.037778790401277906,0.31503053502594786
2026,CU,42957,5305,17744,7544,12849,6141,17100,166.535,42956,2770.356136,9945,29.897430117222722,29.9113066554927,39.80724910957469,-0.38768740106155136,0.27856773614881847,8.038195321578335,6.9499657584105385,22.947464358812184,2.7872392242459654,27.124067431246736,-0.4013291657971535,0.013641764735602158,-0.03646279887712939,0.31503053502594786
2026,FC,42335,4341,21011,6907,11248,7833,21704,26.061000000000007,42334,3600.886614,10335,20.660606349055257,26.56903271524743,51.26727294201016,-0.06156044786696274,0.34841670188679247,7.92180550175801,-2.2868580097569264,22.947464358812184,-0.5550347159993052,27.124067431246736,-0.0752022126025649,0.013641764735602158,0.03338616686084461,0.31503053502594786
2026,FF,163874,14999,80380,27886,42885,26964,86279,-19.682000000000013,163874,13907.178434,41128,18.660114456332423,26.169496076253708,52.64959664132199,0.012010447050782925,0.3381438055339428,30.664413719028985,-4.287349902479761,22.947464358812184,-0.9545713549930284,27.124067431246736,-0.0016313176848192328,0.013641764735602158,0.023113270507994943,0.31503053502594786
2026,FS,17702,2964,9061,1341,4305,3107,6282,-13.057,17702,1236.779786,4766,32.7116212338594,24.31928595638911,35.4875155349678,0.07376002711558016,0.25950058455728076,3.3124318174588474,9.764156875047213,22.947464358812184,-2.804781474857627,27.124067431246736,0.060118262379978006,0.013641764735602158,-0.0555299504686671,0.31503053502594786
2026,SI,89096,4747,40790,19363,24110,18808,49654,-218.446,89094,8649.503366,24502,11.637656288305957,27.06069857232648,55.730897009966775,0.245185983343435,0.35301213639702883,16.671812518829142,-11.309808070506227,22.947464358812184,-0.06336885892025634,27.124067431246736,0.23154421860783284,0.013641764735602158,0.037981601371080975,0.31503053502594786
2026,SLV,118540,17116,55531,18178,35294,18903,51037,0.3970000000000041,118536,8282.71346,29460,30.822423511191946,29.773915977729036,43.05466509195208,-0.0003349193493959676,0.2811511697216565,22.181429648716062,7.874959152379763,22.947464358812184,2.6498485464823,27.124067431246736,-0.013976684084998126,0.013641764735602158,-0.033879365304291365,0.31503053502594786
