family,feature,stat,pct_change,lo_pct,hi_pct,p_boot,brown_forsythe_stat,brown_forsythe_p,theil_sen_slope_per_year,n_base,n_final,sig_fdr
SLV,release_spin_rate,sd,0.0,-12.732218023563762,14.455163743833626,0.989,,,,200,200,False
SLV,release_spin_rate,iqr,0.0,-21.94717392659211,28.004782105669086,1.0,,,,200,200,False
SLV,release_extension,sd,0.0,-12.703471133284665,14.150658827627879,1.0,,,,200,200,False
SLV,release_extension,iqr,0.0,-32.03333333333346,50.000000000000114,1.0,,,,200,200,False
SLV,release_pos_z,sd,0.0,-17.13356317258391,21.226139300758263,0.988,,,,200,200,False
SLV,release_pos_z,iqr,0.0,-22.177419354838737,29.002272727272803,1.0,,,,200,200,False
SLV,release_side_arm,sd,0.0,-14.348777058441733,16.99164527982878,1.0,,,,200,200,False
SLV,release_side_arm,iqr,0.0,-20.58545388094476,25.735762987909254,1.0,,,,200,200,False
SLV,arm_angle,sd,0.0,-16.148503375497473,20.291358525021835,1.0,,,,200,200,False
SLV,arm_angle,iqr,0.0,-19.843979779411768,26.380268642890194,1.0,,,,200,200,False
