game_year,family,cell_id,pitches,n_pitchers,usage_share,balanced,whiff_pct,csw_pct,rv100,xwobacon,rv100_rel,csw_pct_rel
2021,FC,FC|45|2|-1,1593,103,0.00225,True,20.16509,23.47772,-0.60979,0.37045,-0.61225,-4.34436
2021,FC,FC|45|2|-2,537,67,0.00076,True,22.9682,22.53259,-1.31695,0.35394,-1.3194,-5.28948
2021,FC,FC|45|2|0,914,75,0.00129,True,15.98174,22.42888,-1.33118,0.3793,-1.33364,-5.39319
2021,FC,FC|45|3|-1,594,62,0.00084,True,15.73427,21.21212,-0.68148,0.38422,-0.68394,-6.60995
2021,FC,FC|45|3|0,646,67,0.00091,False,16.22419,21.98142,-0.5757,0.36563,-0.57815,-5.84065
2021,FC,FC|46|2|-1,652,54,0.00092,True,17.41742,22.54601,-0.13972,0.31812,-0.14218,-5.27606
2021,FF,FF|43|4|1,652,64,0.00092,False,12.30159,27.91411,-1.56365,0.43504,-1.56611,0.09204
2021,FF,FF|43|4|2,505,41,0.00071,False,13.04348,30.29703,-0.85723,0.41915,-0.85969,2.47496
2021,FF,FF|44|3|0,905,105,0.00128,False,10.57935,23.64641,-1.01878,0.3678,-1.02124,-4.17566
2021,FF,FF|44|3|1,1433,164,0.00202,True,13.08725,28.1926,-1.77188,0.44368,-1.77434,0.37053
2021,FF,FF|44|3|2,1369,137,0.00193,True,11.97917,28.48795,-1.1981,0.4261,-1.20056,0.66588
2021,FF,FF|44|3|3,541,79,0.00076,False,11.5942,29.7597,-1.26784,0.43764,-1.2703,1.93763
2021,FF,FF|44|4|0,1515,105,0.00214,False,11.29771,25.54455,-0.81162,0.39638,-0.81408,-2.27752
2021,FF,FF|44|4|1,2082,178,0.00294,True,13.5468,29.58694,-0.60331,0.42625,-0.60577,1.76486
2021,FF,FF|44|4|2,1891,145,0.00267,True,15.31863,29.24379,-0.44194,0.35716,-0.44439,1.42171
2021,FF,FF|45|2|0,615,98,0.00087,False,12.20339,23.73984,-1.3213,0.38598,-1.32376,-4.08223
2021,FF,FF|45|2|1,569,135,0.0008,False,14.59227,27.76801,-1.26591,0.41634,-1.26836,-0.05406
2021,FF,FF|45|3|-1,556,71,0.00078,False,20.15504,25.89928,-0.06421,0.34132,-0.06667,-1.92279
2021,FF,FF|45|3|0,2123,227,0.003,True,16.17497,23.59868,-0.92581,0.3753,-0.92827,-4.22339
2021,FF,FF|45|3|1,4159,339,0.00587,True,13.86351,25.12623,-0.63753,0.37728,-0.63999,-2.69584
2021,FF,FF|45|3|2,3860,300,0.00545,True,13.30668,26.60622,-1.6608,0.43416,-1.66326,-1.21585
2021,FF,FF|45|3|3,2018,167,0.00285,True,15.30945,27.45292,0.40441,0.36031,0.40195,-0.36915
2021,FF,FF|45|4|-1,683,83,0.00096,False,13.49693,22.10835,0.22621,0.3382,0.22375,-5.71373
2021,FF,FF|45|4|0,3555,236,0.00502,True,16.15187,26.24473,-0.4647,0.38205,-0.46716,-1.57735
