family,feature,game_year,n_pitchers,median,sd,sd_lo,sd_hi,iqr,iqr_lo,iqr_hi,robust_cv,robust_cv_lo,robust_cv_hi,mad,mad_lo,mad_hi
CU,release_extension,2022,162,6.3,0.3887041116776221,0.346257400014674,0.4289410053528072,0.5,0.40000000000000036,0.5999999999999996,0.058833333333333335,0.0470666666666667,0.07173870967741931,0.37065,0.29652000000000023,0.44477999999999973
CU,release_extension,2023,150,6.4,0.3977156528126219,0.35549131388955013,0.43775471610095756,0.5,0.4374999999999991,0.6749999999999998,0.06949687499999996,0.04561846153846157,0.07059999999999995,0.44477999999999973,0.29652000000000023,0.444780000000001
CU,release_extension,2024,143,6.5,0.38929807251546583,0.344291771668623,0.43242847488880326,0.5,0.2999999999999998,0.6000000000000005,0.04561846153846157,0.04492727272727257,0.06949687499999996,0.29652000000000023,0.29651999999999895,0.44477999999999973
CU,release_extension,2025,153,6.4,0.3905243205307969,0.3490943435610086,0.4293600213666965,0.5,0.40000000000000036,0.6000000000000005,0.06949687499999996,0.04633125000000003,0.07059999999999995,0.44477999999999973,0.29652000000000023,0.444780000000001
CU,release_extension,2026,156,6.4,0.39779933821239155,0.35180739308769354,0.4403494691911833,0.5,0.39999999999999947,0.5999999999999996,0.04633125000000003,0.04561846153846157,0.07059999999999995,0.29652000000000023,0.29651999999999895,0.4447800000000004
CU,release_pos_z,2021,181,6.03,0.3867066047514308,0.34177001655143624,0.4332910730476181,0.47499999999999964,0.41000000000000014,0.5899999999999999,0.059008955223880645,0.05163283582089551,0.07238282828282828,0.3558240000000003,0.31134599999999996,0.429954
CU,release_pos_z,2022,162,6.03,0.4207845378922478,0.37325016527792276,0.4641855535689849,0.5624999999999991,0.47000000000000064,0.6512812499999999,0.06884378109452731,0.05739884678747926,0.0806026359143328,0.41512799999999966,0.34841100000000047,0.4892580000000001
CU,release_pos_z,2023,150,6.0,0.4132424969646021,0.3629598868034405,0.4646440568187645,0.5125000000000002,0.3875000000000002,0.6225624999999992,0.05930400000000005,0.049337770382695545,0.07783812294620515,0.3558240000000003,0.29652000000000023,0.4670190000000006
CU,release_pos_z,2024,143,5.98,0.398902725879227,0.3470914082451325,0.44588100462923197,0.45999999999999996,0.37993749999999993,0.6300625000000004,0.057023076923077023,0.04679302325581405,0.07933645484949817,0.34099800000000063,0.2816939999999992,0.4744320000000004
CU,release_pos_z,2025,153,6.0,0.3866540501393514,0.34353432418880464,0.42663587440814565,0.5200000000000005,0.4300000000000006,0.6049999999999995,0.05930400000000005,0.051460025734391616,0.0751317567567567,0.3558240000000003,0.31134599999999996,0.444780000000001
CU,release_pos_z,2026,156,5.89,0.374035843525085,0.3288560791313951,0.41997112944757714,0.49875000000000025,0.4299999999999997,0.5750000000000002,0.06292869269949067,0.04996019546773541,0.07393877901977644,0.37065,0.29652000000000023,0.429954
CU,release_side_arm,2021,181,1.69,0.6529825784031105,0.5870225127478218,0.7126240229709542,0.8599999999999999,0.6900000000000002,0.9850000000000001,0.3728431952662724,0.29822413793103436,0.43863905325443786,0.6301050000000004,0.5189099999999998,0.7413
CU,release_side_arm,2022,162,1.6974999999999998,0.6617524313404067,0.5871985766237215,0.7259371327719757,0.90375,0.6850000000000003,1.0850624999999998,0.39303092783505134,0.3070473372781064,0.49037008249921793,0.6671699999999996,0.5189099999999998,0.8118161624999994
CU,release_side_arm,2023,150,1.67,0.6530448354033433,0.5735512101483623,0.7267938277309868,0.7962500000000001,0.6612187499999999,0.9900312499999998,0.36399161676646696,0.30886637220670377,0.43269955555555567,0.6078659999999998,0.4966709999999999,0.7413
CU,release_side_arm,2024,143,1.71,0.6623457618970356,0.586669252445667,0.7341909014399601,0.8899999999999999,0.7549999999999999,1.0725624999999996,0.39015789473684226,0.32079649122807,0.4703269870268348,0.6671700000000003,0.541149,0.800604
CU,release_side_arm,2025,153,1.85,0.6981087620516239,0.615128639779783,0.7719505084111051,0.895,0.77,1.1300000000000001,0.36864648648648646,0.2933486631016043,0.45786176470588247,0.6819959999999999,0.5485620000000001,0.800604
CU,release_side_arm,2026,156,1.73,0.7190694656303972,0.6219793675628205,0.8076509646242063,0.8587499999999997,0.7525,1.0825937499999994,0.3620800578034681,0.3081181363244176,0.4592770918337261,0.6263984999999997,0.555975,0.8080169999999999
CU,arm_angle,2021,181,46.9,9.893090356492195,8.659428965211207,11.200384723545483,11.600000000000001,9.300000000000004,14.199999999999996,0.19283283582089558,0.14603768736616704,0.2278522105263157,9.043860000000002,6.819960000000002,10.526460000000002
CU,arm_angle,2022,162,45.65,10.386074438024734,9.234500872142197,11.463011394521756,14.387499999999996,11.600000000000001,16.8753125,0.23546221248630886,0.1896548707131192,0.2786252951235991,10.74885,8.59908,12.491831625
CU,arm_angle,2023,150,44.7,10.380148413977368,9.245993737285792,11.502748438640019,13.775000000000006,9.287187499999995,16.875000000000007,0.22388255033557045,0.15463344509454321,0.2852546641892136,10.00755,7.0052850000000015,12.751286624999995
